,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
IPNNV,Ipsen Nv18 (IPNNV),Stock Prices for Ipsen Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/06/2018 17:15,06/06/2014,25/01/2018,,TRUE
IPNX5,Ipsen Nov5 (IPNX5),Stock Prices for Ipsen Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,13/11/2014,13/11/2014,,TRUE
IPR,Impresa Sgps (IPR),Stock Prices for Impresa Sgps from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IPS,Ipsos (IPS),Stock Prices for Ipsos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IPSNV,Ipsos Nv18 (IPSNV),Stock Prices for Ipsos Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/07/2018 17:15,03/01/2017,13/06/2018,,FALSE
IRD,Groupe Ird (IRD),Stock Prices for Groupe Ird from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,31/08/2016,10/01/2019,,TRUE
IREM,Iren (IREM),Stock Prices for Iren from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,22/02/2012,22/02/2012,,TRUE
IRVL,Interserve (IRVL),Stock Prices for Interserve from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,29/07/2013,29/07/2013,,TRUE
ISATL,Inmarsat (ISATL),Stock Prices for Inmarsat from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,12/02/2014,25/03/2014,,TRUE
ISCDS,Iscool Enter Ds (ISCDS),Stock Prices for Iscool Enter Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,15/04/2015 15:59,30/03/2015,15/04/2015,,TRUE
ISPM,Intesa Sanpaolo (ISPM),Stock Prices for Intesa Sanpaolo from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,28/11/2013,28/11/2013,,TRUE
ISPRM,Intesa Sanpaolo R (ISPRM),Stock Prices for Intesa Sanpaolo R from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,16/10/2012,16/10/2012,,TRUE
ITBSR,Its Group Bsar (ITBSR),Stock Prices for Its Group Bsar from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Paris,25/02/2014 19:22,13/02/2014,25/02/2014,,TRUE
ITE,Itesoft (ITE),Stock Prices for Itesoft from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ITEL,Ite Group (ITEL),Stock Prices for Ite Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,19/07/2013,19/07/2013,,TRUE
ITL,It Link (ITL),Stock Prices for It Link from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ITM,Italcementi (ITM),Stock Prices for Italcementi from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,18/06/2012,18/06/2012,,TRUE
ITP,Interparfums (ITP),Stock Prices for Interparfums from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ITRKL,Intertek Group (ITRKL),Stock Prices for Intertek Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,22/08/2013,22/08/2013,,TRUE
ITRM,Italcementi (ITRM),Stock Prices for Italcementi from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,14/07/2009,14/07/2009,,TRUE
ITS,Its Group (ITS),Stock Prices for Its Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ITVL,Itv (ITVL),Stock Prices for Itv from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,30/08/2013,30/08/2013,,TRUE
ITXE,Inditex (ITXE),Stock Prices for Inditex from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,04/09/2013,04/09/2013,,TRUE
ITXT,Intexa (ITXT),Stock Prices for Intexa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,19/12/2018,,TRUE
IVA,Inventiva (IVA),Stock Prices for Inventiva from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,15/02/2017,10/01/2019,,FALSE
IVGD,Ivg Immobilien (IVGD),Stock Prices for Ivg Immobilien from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,11/04/2013,11/04/2013,,TRUE
JAIL,Jp Morgan Asian It (JAIL),Stock Prices for Jp Morgan Asian It from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,19/08/2013,19/08/2013,,TRUE
JAML,Jpm Flem American (JAML),Stock Prices for Jpm Flem American from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,12/08/2013,12/08/2013,,TRUE
JAZE,Jazztel (JAZE),Stock Prices for Jazztel from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,16/01/2013,16/01/2013,,TRUE
JBOG,Jacques Bogart (JBOG),Stock Prices for Jacques Bogart from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,20/02/2014,10/01/2019,,TRUE
JBOGT,Jacques Bogart (JBOGT),Stock Prices for Jacques Bogart from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,28/07/2015 15:59,15/07/2015,15/07/2015,,TRUE
JCQ,Jacquet Metal Sce (JCQ),Stock Prices for Jacquet Metal Sce from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
JDL,Jd Sports Fashion (JDL),Stock Prices for Jd Sports Fashion from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,03/07/2013,03/07/2013,,TRUE
JDWL,Wetherspoon J D (JDWL),Stock Prices for Wetherspoon J D from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,22/08/2013,22/08/2013,,TRUE
JEN,Jensen-group (JEN),Stock Prices for Jensen-group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
JESCL,Jpmorgan Eur Fldgl (JESCL),Stock Prices for Jpmorgan Eur Fldgl from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,23/07/2013,23/07/2013,,TRUE
JETGL,Jpmorgan Europ Gr (JETGL),Stock Prices for Jpmorgan Europ Gr from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,06/03/2013,06/03/2013,,TRUE
JFJL,Jpmorgan Japnse It (JFJL),Stock Prices for Jpmorgan Japnse It from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,09/07/2013,09/07/2013,,TRUE
JIIL,Jpmorgan Indian In (JIIL),Stock Prices for Jpmorgan Indian In from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,15/08/2013,15/08/2013,,TRUE
JKXL,Jkx Oil & Gas (JKXL),Stock Prices for Jkx Oil & Gas from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,18/07/2013,18/07/2013,,TRUE
JLIFL,John Laing Infrast (JLIFL),Stock Prices for John Laing Infrast from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,29/05/2013,29/05/2013,,TRUE
JLTL,Jar Lloyd Thomp Gp (JLTL),Stock Prices for Jar Lloyd Thomp Gp from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,02/08/2013,02/08/2013,,TRUE
JMGL,Jpmorgan Emer Mkts (JMGL),Stock Prices for Jpmorgan Emer Mkts from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,15/07/2013,15/07/2013,,TRUE
JMT,J Martins Sgps (JMT),Stock Prices for J Martins Sgps from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
JPMC,Morgan Chase Cert (JPMC),Stock Prices for Morgan Chase Cert from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Brussels,31/05/2014 17:05,27/02/2014,28/05/2014,,TRUE
JRSL,Jpm Russian Sec (JRSL),Stock Prices for Jpm Russian Sec from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,02/04/2013,02/04/2013,,TRUE
JUPL,Jupiter Fund Manag (JUPL),Stock Prices for Jupiter Fund Manag from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,15/08/2013,15/08/2013,,TRUE
JXR,Archos (JXR),Stock Prices for Archos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
JXRBS,Archos Bsar 2018 (JXRBS),Stock Prices for Archos Bsar 2018 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,27/12/2018 17:15,05/09/2017,20/12/2018,,FALSE
JXRDS,Archos Ds (JXRDS),Stock Prices for Archos Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,29/10/2018 17:15,15/10/2018,26/10/2018,,FALSE
JYSKC,Jyske Bank (JYSKC),Stock Prices for Jyske Bank from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:34,08/01/2013,08/01/2013,,TRUE
KA,Kas Bank (KA),Stock Prices for Kas Bank from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KARD,Kardan (KARD),Stock Prices for Kardan from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KAZDS,Orchestra Ds (KAZDS),Stock Prices for Orchestra Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/10/2018 17:15,19/09/2018,01/10/2018,,FALSE
KAZI,Orchestra-premaman (KAZI),Stock Prices for Orchestra-premaman from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KAZIT,Orchestra Premaman (KAZIT),Stock Prices for Orchestra Premaman from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/08/2016 15:58,02/08/2016,02/08/2016,,TRUE
KAZL,Kazakhmys Plc (KAZL),Stock Prices for Kazakhmys Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,30/08/2013,30/08/2013,,TRUE
KBC,Kbc (KBC),Stock Prices for Kbc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KBCA,Kbc Ancora (KBCA),Stock Prices for Kbc Ancora from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KCOD,Kloeckner & Co (KCOD),Stock Prices for Kloeckner & Co from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,06/08/2013,06/08/2013,,TRUE
KCOML,Kcom Group (KCOML),Stock Prices for Kcom Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,23/07/2013,23/07/2013,,TRUE
KCR1VH,Konecranes (KCR1VH),Stock Prices for Konecranes from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,05/03/2013,05/03/2013,,TRUE
KD8D,Kabel Deutschland (KD8D),Stock Prices for Kabel Deutschland from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,21/08/2013,21/08/2013,,TRUE
KDS,Kiadis (KDS),"Stock Prices for Kiadis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,02/07/2015,10/01/2019,,TRUE
KENDR,Kendrion (KENDR),Stock Prices for Kendrion from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KENZL,Kentz Corporation (KENZL),Stock Prices for Kentz Corporation from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,29/08/2013,29/08/2013,,TRUE
KER,Kering (KER),Stock Prices for Kering from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KERNV,Kering Nv (KERNV),Stock Prices for Kering Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,27/04/2015 15:59,12/03/2014,24/04/2015,,TRUE
KERQ5,Kering Aug5 (KERQ5),Stock Prices for Kering Aug5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,19/07/2015 15:59,31/07/2014,31/07/2014,,TRUE
KESBVH,Kesko B (KESBVH),Stock Prices for Kesko B from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,06/11/2012,06/11/2012,,TRUE
KEY,Keyrus (KEY),Stock Prices for Keyrus from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KEYBS,Keyrus Bsaar 2014 (KEYBS),Stock Prices for Keyrus Bsaar 2014 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/08/2014 17:00,06/01/2014,16/07/2014,,TRUE
KEYW,Keyware Tech (KEYW),Stock Prices for Keyware Tech from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,08/01/2019,,TRUE
KFXL,Kofax (KFXL),Stock Prices for Kofax from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,16/08/2013,16/08/2013,,TRUE
KGFL,Kingfisher (KGFL),Stock Prices for Kingfisher from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,23/08/2013,23/08/2013,,TRUE
KIEL,Kier Group (KIEL),Stock Prices for Kier Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,28/08/2013,28/08/2013,,TRUE
KIN,Kinepolis Group (KIN),Stock Prices for Kinepolis Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KIND,Kindy (KIND),Stock Prices for Kindy from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Paris,19/05/2014 16:59,14/02/2014,16/05/2014,,TRUE
KINVBS,Kinnevik Invest B (KINVBS),Stock Prices for Kinnevik Invest B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:34,03/05/2013,03/05/2013,,TRUE
KKOWA,Kko Int Warrant A (KKOWA),"Stock Prices for Kko Int Warrant A from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris, Brussels",10/01/2019 17:15,28/10/2015,07/01/2019,,TRUE
KKOWT,Kko Int Warrant A (KKOWT),"Stock Prices for Kko Int Warrant A from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Brussels, Paris",19/11/2018 17:15,13/11/2018,13/11/2018,,FALSE
KLEDS,Kungsleden (KLEDS),Stock Prices for Kungsleden from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:34,15/02/2013,15/02/2013,,TRUE
KLKDS,Kerlink Ds (KLKDS),Stock Prices for Kerlink Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,03/05/2017 15:58,19/04/2017,03/05/2017,,FALSE
KLRL,Keller Grp (KLRL),Stock Prices for Keller Grp from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,30/08/2013,30/08/2013,,TRUE
KMRL,Kenmare Resources (KMRL),Stock Prices for Kenmare Resources from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,19/08/2013,19/08/2013,,TRUE
KN,Natixis (KN),Stock Prices for Natixis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KNEBVH,Kone B (KNEBVH),Stock Prices for Kone B from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,07/03/2013,07/03/2013,,TRUE
KNINZ,Kuehne & Nagel (KNINZ),Stock Prices for Kuehne & Nagel from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:36,17/02/2014,30/04/2014,,TRUE
KNNV,Natixis Nv (KNNV),Stock Prices for Natixis Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,25/05/2017 15:58,07/03/2017,23/05/2017,,FALSE
KOF,Kaufman Et Broad (KOF),Stock Prices for Kaufman Et Broad from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KOR,Kortrijk Shop Cert (KOR),Stock Prices for Kortrijk Shop Cert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,27/11/2017 17:15,14/02/2014,24/11/2017,,TRUE
KORI,Korian (KORI),Stock Prices for Korian from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KPN,Kpn Kon (KPN),Stock Prices for Kpn Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
KRA1VH,Kemira Oyj (KRA1VH),Stock Prices for Kemira Oyj from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,27/01/2014,27/01/2014,,TRUE
KRND,Krones (KRND),Stock Prices for Krones from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,19/07/2013,19/07/2013,,TRUE
KRXI,Kingspan Group Plc (KRXI),Stock Prices for Kingspan Group Plc from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,20/11/2012,20/11/2012,,TRUE
KRZI,Kerry Group A (KRZI),Stock Prices for Kerry Group A from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,05/03/2013,05/03/2013,,TRUE
KTC,Ten Cate (KTC),Stock Prices for Ten Cate from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,16/03/2016 15:58,14/02/2014,15/03/2016,,TRUE
KU2D,Kuka (KU2D),Stock Prices for Kuka from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,30/04/2013,30/04/2013,,TRUE
KVW,Volkerwessels (KVW),Stock Prices for Volkerwessels from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,12/05/2017,10/01/2019,,FALSE
LACR,Lacroix Sa (LACR),Stock Prices for Lacroix Sa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
LADL,Ladbrokes (LADL),Stock Prices for Ladbrokes from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,28/08/2013,28/08/2013,,TRUE
LAF,Lafuma (LAF),Stock Prices for Lafuma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,31/12/2018,,TRUE
LAGB,Lagardere Act Bro (LAGB),Stock Prices for Lagardere Act Bro from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,31/08/2015 15:58,25/02/2014,06/08/2015,,TRUE
LAML,Lamprell (LAML),Stock Prices for Lamprell from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,11/07/2013,11/07/2013,,TRUE
LAN,Lanson-bcc (LAN),Stock Prices for Lanson-bcc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
LANDL,Land Sec Grp Reit (LANDL),Stock Prices for Land Sec Grp Reit from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,21/02/2014,29/04/2014,,TRUE
LANS,Van Lanschot (LANS),Stock Prices for Van Lanschot from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,03/07/2017 15:58,14/02/2014,03/07/2017,,TRUE
LAT,Latecoere (LAT),Stock Prices for Latecoere from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
LATBS,Aviat Latecoere Bs (LATBS),Stock Prices for Aviat Latecoere Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,30/07/2015 15:58,14/02/2014,30/07/2015,,TRUE
LATDS,Latecoere Ds (LATDS),Stock Prices for Latecoere Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/09/2015 15:58,27/08/2015,07/09/2015,,TRUE
LAX,Stelax Industries (LAX),Stock Prices for Stelax Industries from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Paris,27/12/2018 17:15,13/02/2014,26/09/2018,,TRUE
LBIDS,Lumibird Ds (LBIDS),Stock Prices for Lumibird Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,06/12/2018 17:15,27/11/2018,06/12/2018,,FALSE
LBIRD,Lumibird (LBIRD),Stock Prices for Lumibird from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,21/05/2018,10/01/2019,,FALSE
LBON,Lebon (LBON),Stock Prices for Lebon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
LCO,Solucom (LCO),Stock Prices for Solucom from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,22/07/2016 15:58,14/02/2014,22/07/2016,,TRUE
LD,Locindus (LD),Stock Prices for Locindus from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
LDL,Groupe Ldlc (LDL),Stock Prices for Groupe Ldlc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
